frame,latencia_ms,num_deteccoes,confianca_media
264,22.58,4,0.414
265,22.55,5,0.397
266,20.75,4,0.504
267,20.61,5,0.450
268,20.50,4,0.425
269,20.31,4,0.443
270,20.75,5,0.453
271,20.35,5,0.461
272,22.55,2,0.566
273,20.09,5,0.483
274,20.22,4,0.524
275,23.03,5,0.520
276,22.61,4,0.543
277,20.32,5,0.536
278,20.57,3,0.556
279,20.40,4,0.543
280,19.73,2,0.780
281,20.21,3,0.606
282,20.67,4,0.557
283,23.20,4,0.569
284,22.31,5,0.596
285,20.28,5,0.593
286,19.75,4,0.654
287,22.77,6,0.522
288,20.27,3,0.620
289,22.50,4,0.539
290,19.91,5,0.480
291,20.23,5,0.455
292,22.67,3,0.512
293,20.81,3,0.479
294,19.85,3,0.505
295,20.14,2,0.582
296,20.14,2,0.518
297,20.61,2,0.566
298,22.34,2,0.624
299,22.35,2,0.536
300,23.65,1,0.754
301,19.99,1,0.823
302,20.58,1,0.804
303,20.43,2,0.509
304,22.85,2,0.762
305,20.38,3,0.605
306,20.72,3,0.536
307,20.34,2,0.769
308,19.89,2,0.599
309,20.24,2,0.581
310,19.99,2,0.585
311,22.53,3,0.507
312,20.32,3,0.558
313,20.19,3,0.589
314,23.20,3,0.558
315,22.72,3,0.574
316,22.40,2,0.635
317,20.45,3,0.586
318,20.52,3,0.639
319,20.47,3,0.633
320,20.22,3,0.610
321,23.67,3,0.634
322,22.10,3,0.558
323,19.75,2,0.738
324,22.37,2,0.566
325,22.65,2,0.605
326,20.35,3,0.541
327,20.35,3,0.642
328,21.65,2,0.763
329,22.15,2,0.838
330,19.91,2,0.882
331,20.78,2,0.873
332,20.00,4,0.567
333,21.93,3,0.698
334,19.93,2,0.670
335,20.52,2,0.616
336,20.30,2,0.619
337,23.04,2,0.729
338,20.77,4,0.572
339,20.07,5,0.491
340,22.49,4,0.592
341,20.67,4,0.627
342,22.98,4,0.591
343,20.22,4,0.677
344,20.21,4,0.737
345,24.88,5,0.618
346,19.67,5,0.651
347,20.23,4,0.573
348,19.93,3,0.681
349,22.89,3,0.656
350,20.19,2,0.837
351,21.34,2,0.831
352,22.53,2,0.885
353,23.47,3,0.701
354,22.77,2,0.852
355,20.26,2,0.867
356,19.79,2,0.883
357,20.43,2,0.847
358,23.12,3,0.662
359,20.41,4,0.608
360,20.89,3,0.562
361,20.14,2,0.588
362,20.61,3,0.550
363,20.56,2,0.617
364,21.03,1,0.870
365,20.71,1,0.838
366,20.53,1,0.614
367,22.63,2,0.374
368,22.78,2,0.295
369,20.26,2,0.409
370,20.40,3,0.360
371,21.99,3,0.479
372,20.76,4,0.469
373,21.71,3,0.544
374,20.75,1,0.786
375,25.87,1,0.859
376,23.85,2,0.593
377,20.59,1,0.886
378,20.47,1,0.885
379,20.67,2,0.574
380,20.15,1,0.898
381,20.74,1,0.902
382,20.84,1,0.896
383,20.69,2,0.593
384,20.21,2,0.626
385,20.74,2,0.579
386,20.66,1,0.876
387,20.34,1,0.892
388,22.20,1,0.894
389,20.77,1,0.897
390,22.34,1,0.890
391,21.95,1,0.896
392,18.84,1,0.896
393,19.25,1,0.888
394,20.31,1,0.879
395,19.62,2,0.591
396,22.29,1,0.902
397,20.35,1,0.902
398,22.00,2,0.582
399,19.17,2,0.572
